congress,chamber,bioguide_id,name,party,PORTMAN_attract,PORTMAN_offer
98,house,M000702,BARBARA MIKULSKI,D,0.19857073583592838,0.07814269652259667
98,house,M000718,CLARENCE MILLER,R,,0.47226384255540715
98,house,M000725,GEORGE MILLER,D,0.2526107572272656,0.07422215198815324
98,house,M000794,NORMAN MINETA,D,0.42911917500090635,0.08107883823019942
98,house,M000796,JOSEPH MINISH,D,0.4116855121292264,0.05979281429573312
98,house,M000826,PARREN MITCHELL,D,0.2397784969746288,0.04373820009234555
98,house,M000834,JOE MOAKLEY,D,0.2788137526203812,0.1027157743231127
98,house,M000842,GUY MOLINARI,R,0.5724645462711748,0.5872567398840474
98,house,M000844,ALAN MOLLOHAN,D,,0.05430309283337601
98,house,M000865,G. MONTGOMERY,D,0.4969256185280536,0.23104383755453936
98,house,M000881,JIM MOODY,D,0.2583510702392719,0.11799579979935507
98,house,M000923,W. MOORE,R,0.48361293800520166,0.667986347004693
98,house,M000926,CARLOS MOORHEAD,R,0.3132052870119156,0.6616691476813783
98,house,M000992,BRUCE MORRISON,D,,0.07537101554888166
98,house,M000999,SID MORRISON,R,0.40690899071561926,0.5925058187263621
98,house,M001057,ROBERT MRAZEK,D,0.25303166597538024,0.1587332251661647
98,house,M001088,AUSTIN MURPHY,D,0.2336915284552657,0.16702677350917927
98,house,M001120,JOHN MURTHA,D,0.3989140161723019,0.16251140800452546
98,house,M001130,JOHN MYERS,R,,0.6974542960519332
98,house,N000009,WILLIAM NATCHER,D,0.38063347218796567,0.08041244612283033
98,house,N000016,STEPHEN NEAL,D,0.30470099482449065,0.07162559502691696
98,house,N000032,CLARENCE NELSON,D,,0.14417880013431159
98,house,N000095,BILL NICHOLS,D,0.4269190845690437,0.3037840429933628
98,house,N000106,HOWARD NIELSON,R,0.39130524569750935,0.33122702258751796
98,house,N000163,HENRY NOWAK,D,0.47211551695437415,0.07709789134499828
98,house,O000001,MARY OAKAR,D,0.12277132924517845,0.09458585249693269
98,house,O000006,JAMES OBERSTAR,D,0.4435590203031322,0.09161731535532706
98,house,O000007,DAVID OBEY,D,0.371898169830282,0.23643049173774108
98,house,O000010,GEORGE O'BRIEN,R,0.2989140161723019,0.584475407392442
98,house,O000069,JAMES OLIN,D,,0.08709670064788841
98,house,O000107,SOLOMON ORTIZ,D,0.39906915671911586,0.11994672951725587
98,house,O000134,RICHARD OTTINGER,D,0.2061699710491139,0.11693657797184114
98,house,O000159,MAJOR OWENS,D,0.3335605121292264,0.06196151234887179
98,house,O000163,MICHAEL OXLEY,R,0.32522980564598614,0.49946744370265245
98,house,P000005,RON PACKARD,R,0.2951513995436632,0.3163375532240194
98,house,P000047,LEON PANETTA,D,0.3343275112308255,0.06561125164422306
